,location,total_sqft,bath,price,bhk
51,Varthur,1160.0,2.0,44.0,2
52,Doddathoguru,1100.0,2.0,62.0,2
53,Gunjur,1140.0,2.0,43.0,2
54,Marathahalli,1220.0,2.0,57.0,2
55,Kanakpura Road,1005.0,2.0,36.68,2
56,Begur Road,1358.0,2.0,80.58,2
57,Hegde Nagar,1569.0,3.0,101.0,3
58,Haralur Road,1240.0,2.0,70.0,2
59,Hennur Road,2089.0,3.0,140.0,3
60,Kothannur,1206.0,2.0,48.23,2
61,Kalena Agrahara,1150.0,2.0,40.0,2
62,ISRO Layout,4400.0,6.0,250.0,6
63,Other,1660.0,2.0,105.0,3
64,Hennur Road,4682.0,2.0,224.5,4
65,Yelahanka,1326.0,2.0,78.0,2
66,Garudachar Palya,1325.0,2.0,60.8,3
67,Kanakpura Road,1665.0,3.0,88.0,3
68,Dasanapura,708.0,2.0,37.0,2
69,Kasavanhalli,1060.0,2.0,58.06,2
70,Sanjay nagar,1000.0,2.0,70.0,2
71,Electronic City,1000.0,2.0,28.88,2
72,Other,1450.0,2.0,70.0,3
73,Thanisandra,1296.0,2.0,80.0,2
74,Domlur,1540.0,3.0,90.0,3
75,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
76,Other,1200.0,2.0,65.0,2
77,Other,1200.0,3.0,90.0,3
78,Yeshwanthpur,2502.0,3.0,138.0,3
79,Kothanur,2400.0,2.0,150.0,3
80,Other,1007.0,2.0,43.0,2
81,Other,1200.0,2.0,50.0,2
82,Other,966.0,2.0,49.9,2
83,Nagarbhavi,1630.0,2.0,98.0,3
84,Other,782.0,2.0,55.68,2
85,Devanahalli,1260.0,2.0,66.78,2
86,Other,1800.0,3.0,120.0,3
87,Other,1413.0,2.0,75.0,3
88,Whitefield,1116.0,2.0,51.91,2
89,Electronic City,1530.0,2.0,45.9,3
90,Ramamurthy Nagar,3700.0,4.0,225.0,4
91,Sarjapur  Road,2497.0,3.0,140.0,3
92,Kengeri,1540.0,2.0,64.0,3
93,Thanisandra,1436.0,3.0,74.75,3
94,Malleshwaram,1100.0,2.0,75.0,2
95,Hebbal,7145.0,4.0,477.0,4
96,Shampura,2650.0,4.0,150.0,4
97,Devanahalli,1282.0,2.0,68.52,3
98,Kadugodi,1050.0,2.0,34.0,2
99,LB Shastri Nagar,1600.0,3.0,65.0,3
100,Other,945.0,2.0,54.0,2
101,Hormavu,1500.0,2.0,78.0,2
102,Other,1870.0,3.0,110.0,3
103,Sarjapur,1600.0,3.0,75.0,3
104,Kudlu Gate,1535.0,3.0,83.0,3
105,Kanakpura Road,950.0,2.0,57.0,2
106,Devanahalli,1360.0,2.0,65.0,2
107,8th Phase JP Nagar,1594.5,2.0,54.005,2
108,Bommasandra Industrial Area,1280.0,3.0,50.4,3
109,Other,1260.0,2.0,85.05,3
110,Yelahanka,3050.0,5.0,213.0,5
111,Kasavanhalli,1563.05,3.0,105.0,3
112,ISRO Layout,1000.0,2.0,60.0,2
113,Anandapura,1167.0,2.0,43.76,2
114,Kothanur,1828.0,3.0,110.0,3
115,Kengeri Satellite Town,890.0,2.0,35.0,2
116,Other,1612.0,3.0,46.74,3
117,Kannamangala,957.0,2.0,58.0,2
118,Devarachikkanahalli,1250.0,2.0,44.0,3
119,Hulimavu,1125.0,2.0,50.0,2
120,Electronic City Phase II,1020.0,2.0,30.6,2
121,Kalena Agrahara,1200.0,2.0,50.0,2
122,Thanisandra,1735.0,3.0,135.0,3
123,Thanisandra,2050.0,3.0,145.0,3
124,Other,1350.0,2.0,48.0,3
125,Hosa Road,1063.0,2.0,32.0,2
126,Other,1904.0,3.0,150.0,3
127,Other,1425.0,2.0,75.0,3
128,Electronic City,1500.0,2.0,64.5,3
129,Electronic City,1060.0,2.0,60.0,2
130,Other,1470.0,2.0,70.0,3
131,Electronic City,1152.0,2.0,64.5,2
132,Electronic City,1350.0,2.0,56.0,3
133,CV Raman Nagar,1550.0,3.0,65.0,3
134,Other,1500.0,3.0,100.0,3
135,Nagavara,400.0,1.0,14.0,1
136,Electronic City,770.0,1.0,36.0,2
137,Hulimavu,1242.0,2.0,51.0,2
138,Thanisandra,2144.0,3.0,145.0,3
139,Vijayanagar,1704.0,3.0,110.0,3
140,Electronic City,1070.0,2.0,52.0,2
141,Other,1340.0,2.0,55.7,2
142,Electronic City,1025.0,2.0,46.0,2
143,KR Puram,1785.0,2.0,56.8,2
144,Marathahalli,1200.0,2.0,52.0,2
145,Kanakpura Road,2250.0,4.0,110.0,4
146,Pattandur Agrahara,1550.0,2.0,80.0,3
147,Marathahalli,1200.0,2.0,60.0,2
148,Yelahanka,1327.0,2.0,98.0,2
149,Kothanur,1186.0,2.0,58.0,2
150,Other,1783.0,3.0,115.0,3
151,HSR Layout,1400.0,3.0,56.0,3
152,Nagasandra,980.0,2.0,48.0,2
153,EPIP Zone,1285.0,2.0,82.0,2
154,Other,912.0,2.0,70.0,3
155,Whitefield,1225.0,2.0,47.6,2
156,Whitefield,1075.0,2.0,53.0,2
157,Kadugodi,1260.0,2.0,54.0,3
158,Yelahanka,1282.0,2.0,48.7,3
159,Kogilu,1909.0,3.0,88.0,3
160,Panathur,1359.0,2.0,87.0,2
161,Other,1207.0,2.0,43.5,2
162,Kammasandra,1595.0,3.0,65.0,3
163,Other,1798.0,3.0,89.0,3
164,Electronics City Phase 1,1475.0,3.0,78.29,3
165,Other,1580.0,3.0,100.0,3
166,Dasarahalli,1295.0,2.0,65.0,2
167,Magadi Road,3600.0,6.0,141.0,6
168,Electronic City,589.0,1.0,27.0,1
169,Other,1415.0,3.0,78.0,3
170,Sarjapur  Road,1787.0,3.0,98.29,3
171,Sarjapur  Road,1787.0,3.0,125.0,3
172,Koramangala,1475.0,2.0,90.0,3
173,Other,2000.0,4.0,75.5,4
174,Sarjapur  Road,984.0,2.0,44.28,2
175,Devanahalli,2390.0,2.0,74.82,3
176,7th Phase JP Nagar,1080.0,2.0,72.0,2
177,Other,1500.0,2.0,115.0,2
178,Hebbal,1900.0,3.0,119.0,3
179,Budigere,1153.0,2.0,56.4,2
180,Other,1148.0,2.0,60.0,2
181,Other,1110.0,2.0,55.0,2
182,Electronic City,1100.0,2.0,42.0,2
183,Other,1500.0,2.0,65.0,3
184,Other,1080.0,2.0,39.0,2
185,Vijayanagar,1933.0,3.0,129.0,3
186,Ramamurthy Nagar,3500.0,5.0,150.0,5
187,Other,1060.0,2.0,60.0,2
188,Other,1644.0,3.0,84.0,3
189,Other,1285.0,2.0,72.5,2
190,Electronic City,1200.0,3.0,90.0,3
191,Electronic City,910.0,2.0,40.0,2
192,Kothanur,1577.0,3.0,70.0,3
193,Other,4050.0,3.0,280.0,3
194,OMBR Layout,2420.0,3.0,185.0,3
195,Other,1060.0,2.0,55.0,2
196,7th Phase JP Nagar,1270.0,2.0,93.0,2
197,Other,1280.0,2.0,69.0,2
198,Horamavu Agara,1200.0,2.0,95.0,4
199,Sarjapur  Road,1025.0,2.0,36.0,2
200,Electronic City,1108.0,2.0,63.0,2
201,Other,3045.0,3.0,170.0,3
202,Vijayanagar,1500.0,3.0,75.5,3
203,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
204,Budigere,1162.0,2.0,59.9,2
205,Sarjapur  Road,1035.0,2.0,49.2,2
206,Attibele,1600.0,4.0,52.8,4
207,Other,1464.0,3.0,46.0,3
208,Hennur Road,1866.0,2.0,61.58,3
209,Other,700.0,1.0,26.0,2
210,Kalena Agrahara,1804.0,3.0,120.0,3
211,Sarjapur,913.0,2.0,32.0,2
212,Talaghattapura,1868.0,3.0,131.0,3
213,Kengeri Satellite Town,883.0,2.0,45.0,2
214,Kogilu,1664.0,2.0,73.95,3
215,Hegde Nagar,2026.0,3.0,132.0,3
216,Balagere,1210.0,2.0,80.9,2
217,Other,4111.0,4.0,250.0,4
218,Kadugodi,1762.0,3.0,91.45,3
219,Jigani,1252.0,3.0,55.0,3
220,Gollarapalya Hosahalli,861.0,2.0,34.5,2
221,7th Phase JP Nagar,1420.0,2.0,100.0,3
222,Electronics City Phase 1,1490.0,3.0,78.8,3
223,Bisuvanahalli,1075.0,2.0,46.0,3
224,Old Madras Road,1425.0,2.0,94.0,3
225,Kalena Agrahara,1200.0,2.0,40.0,2
226,Kaggadasapura,1280.0,2.0,56.0,3
227,Other,1084.0,2.0,50.0,2
228,Kanakpura Road,1017.0,2.0,51.25,2
229,Haralur Road,1027.0,2.0,44.0,2
230,Electronic City Phase II,1069.0,2.0,45.0,2
231,Hebbal,1349.0,2.0,98.2,2
232,9th Phase JP Nagar,1005.0,2.0,50.0,2
233,Jakkur,1417.0,2.0,75.0,2
234,TC Palaya,1475.0,3.0,98.0,3
235,Other,950.0,2.0,47.0,2
236,Other,2000.0,4.0,120.0,4
237,Sarjapur  Road,1863.0,3.0,104.0,4
238,Singasandra,1010.0,2.0,29.5,2
239,Kalena Agrahara,1425.0,2.0,70.0,3
240,Vijayanagar,1450.0,3.0,100.0,3
241,Kothanur,1847.0,3.0,105.0,3
242,AECS Layout,1100.0,2.0,45.0,2
243,Kanakpura Road,525.0,1.0,26.0,1
244,Mallasandra,1665.0,3.0,95.0,3
245,Begur,1664.0,4.0,65.0,4
246,Panathur,1438.0,2.0,100.0,2
247,Other,1560.0,3.0,115.0,3
248,Yelahanka,1350.0,2.0,55.55,2
249,Kanakpura Road,1550.0,3.0,67.0,3
250,Malleshpalya,1140.0,2.0,46.5,2
251,Other,850.0,2.0,27.0,2
252,Whitefield,1280.0,2.0,75.0,2
253,Munnekollal,1170.0,2.0,52.0,2
254,Other,1113.0,2.0,51.0,2
255,Hennur Road,1385.0,2.0,83.09,2
256,Electronic City,1128.0,2.0,65.0,2
257,Haralur Road,1464.0,3.0,56.0,3
258,Other,1200.0,2.0,55.0,2
259,Kaval Byrasandra,1200.0,2.0,52.0,2
260,Kaggalipura,1150.0,2.0,55.0,3
261,Other,1645.0,3.0,95.0,3
262,Sarjapur  Road,1000.0,2.0,67.0,2
263,Haralur Road,2650.0,4.0,198.0,4
264,6th Phase JP Nagar,1192.0,2.0,74.0,2
265,Whitefield,1173.0,2.0,58.0,2
266,Uttarahalli,1020.0,2.0,45.0,2
267,Somasundara Palya,1600.0,3.0,64.0,3
268,Other,1200.0,2.0,79.0,2
269,Other,1230.0,2.0,48.0,2
270,Devarachikkanahalli,1250.0,2.0,40.0,2
271,Kalena Agrahara,1325.0,2.0,76.0,2
272,Basaveshwara Nagar,1200.0,2.0,65.0,2
273,Bommasandra,1260.0,3.0,49.36,3
274,Ardendale,1100.0,2.0,43.25,2
275,Harlur,1508.0,2.0,77.0,2
276,Other,1592.0,3.0,75.0,3
277,Akshaya Nagar,1388.0,2.0,57.0,2
278,Electronic City Phase II,630.0,1.0,28.35,1
279,Other,1762.0,3.0,125.0,3
280,Other,950.0,2.0,50.0,2
281,Magadi Road,1116.0,2.0,50.0,2
282,Narayanapura,1308.0,2.0,89.04,2
283,Other,1200.0,3.0,90.0,3
284,Bannerghatta Road,500.0,1.0,18.5,1
285,Hennur,1075.0,2.0,52.0,2
286,Bellandur,1205.0,2.0,66.0,2
287,5th Phase JP Nagar,1075.0,2.0,60.0,2
288,KR Puram,930.0,2.0,39.0,2
289,Balagere,1380.0,2.0,60.0,2
290,Kodigehaali,1166.0,2.0,55.0,2
291,Bannerghatta Road,1050.0,2.0,65.0,2
292,Begur Road,1200.0,2.0,46.8,2
293,Lakshminarayana Pura,1600.0,2.0,108.0,3
294,Billekahalli,1935.0,3.0,110.0,3
295,8th Phase JP Nagar,451.0,1.0,29.9,1
296,Electronic City,1800.0,3.0,95.0,3
297,Jalahalli,1400.0,3.0,77.0,3
298,Hegde Nagar,1801.0,3.0,115.0,3
299,Mahadevpura,1451.0,2.0,90.0,2
300,Anekal,1200.0,1.0,36.0,2
301,Begur Road,1160.0,2.0,44.0,2
302,Kanakpura Road,950.0,2.0,40.0,2
303,Other,1629.0,3.0,79.0,3
304,Vijayanagar,1826.0,3.0,121.0,3
305,7th Phase JP Nagar,1245.0,2.0,94.0,2
306,Raja Rajeshwari Nagar,1145.0,2.0,45.79,2
307,Sompura,825.0,2.0,33.0,2
308,Yeshwanthpur,1693.0,3.0,108.0,3
309,Electronics City Phase 1,1113.27,2.0,53.0,2
310,Other,1460.0,2.0,58.0,2
311,Doddathoguru,1050.0,2.0,32.0,2
312,Dodda Nekkundi,1260.0,2.0,55.0,2
313,Hosur Road,1656.0,2.0,120.0,2
314,Chandapura,1208.0,3.0,45.0,3
315,Whitefield,3252.0,4.0,230.0,4
316,Battarahalli,1200.0,2.0,65.0,2
317,7th Phase JP Nagar,1175.0,2.0,82.0,2
318,Other,1185.0,2.0,38.0,2
319,Kengeri,750.0,2.0,38.0,2
320,Kanakpura Road,1550.0,3.0,64.5,3
321,Other,1760.0,3.0,88.0,3
322,Billekahalli,1125.0,2.0,62.0,2
323,Anandapura,1000.0,2.0,55.0,2
324,Bommasandra Industrial Area,1090.0,2.0,31.48,2
325,TC Palaya,1200.0,2.0,60.0,2
326,Ambalipura,1105.0,2.0,75.0,2
327,Hoodi,985.0,2.0,67.0,2
328,Balagere,1590.0,3.0,79.0,3
329,CV Raman Nagar,1120.0,2.0,55.0,2
330,Other,1069.0,2.0,55.0,2
331,Marathahalli,1933.0,3.0,140.0,3
332,Hosur Road,1194.0,2.0,69.0,2
333,Brookefield,1150.0,2.0,69.0,2
334,Yelenahalli,1240.0,2.0,47.12,2
335,Raja Rajeshwari Nagar,1419.0,2.0,48.1,2
336,Other,1450.0,3.0,55.0,3
337,Other,1630.0,3.0,68.29,3
338,Dasanapura,708.0,1.0,40.0,2
339,Whitefield,11890.0,4.0,700.0,4
340,Bellandur,1250.0,2.0,76.0,2
341,7th Phase JP Nagar,1400.0,2.0,95.0,3
342,Sarjapur  Road,1670.0,2.0,57.0,3
343,Ardendale,1750.0,3.0,100.0,3
344,Vittasandra,1404.0,2.0,71.0,2
345,Hoodi,1715.0,2.0,95.0,3
346,Electronic City,630.0,1.0,34.65,1
347,Harlur,1752.12,3.0,135.0,3
348,Hulimavu,1650.0,3.0,78.0,3
349,Raja Rajeshwari Nagar,1295.0,2.0,55.47,2
350,Sarjapur  Road,1346.0,2.0,74.03,2
351,Hormavu,1150.0,2.0,55.0,2
352,AECS Layout,1620.0,3.0,98.0,3
353,Marathahalli,950.0,2.0,46.96,2
354,Harlur,2450.0,3.0,120.0,3
355,Electronic City Phase II,1220.0,2.0,35.23,3
356,Other,850.0,2.0,30.0,2
357,Padmanabhanagar,1020.0,2.0,63.0,2
358,Chikkalasandra,1100.0,2.0,50.0,2
359,Hebbal,1760.0,2.0,130.0,3
360,Ambalipura,1800.0,3.0,110.0,3
361,Akshaya Nagar,1070.0,2.0,54.0,2
362,Vidyaranyapura,1440.0,2.0,95.0,2
363,Amruthahalli,900.0,2.0,40.0,2
364,Whitefield,1130.0,2.0,42.16,2
365,Kodigehalli,1270.0,2.0,98.0,2
366,Other,1200.0,2.0,62.0,2
367,Other,4800.0,4.0,235.0,4
368,Other,1200.0,2.0,74.0,2
369,Subramanyapura,929.0,2.0,50.17,2
370,Other,1464.0,3.0,56.0,3
371,Other,2000.0,4.0,99.0,4
372,Chikkalasandra,1208.0,2.0,49.0,2
373,Hebbal Kempapura,1130.0,2.0,60.0,2
374,Other,1753.0,3.0,120.0,3
375,Hoodi,1196.0,2.0,94.42,2
376,Electronic City,1128.0,2.0,63.0,2
377,Other,1000.0,2.0,53.0,2
378,Yelahanka,1035.0,2.0,45.0,2
379,Kereguddadahalli,950.0,2.0,32.0,2
380,Bisuvanahalli,1075.0,2.0,36.0,3
381,Whitefield,1040.0,2.0,48.5,2
382,Other,720.0,2.0,45.0,2
383,Lingadheeranahalli,1511.0,3.0,95.0,3
384,Other,1300.0,3.0,58.0,3
385,Hoodi,1545.0,3.0,68.75,3
386,Vidyaranyapura,1062.0,2.0,38.0,2
387,Other,1115.0,2.0,40.0,2
388,JP Nagar,1000.0,2.0,35.0,2
389,Kambipura,883.0,2.0,45.0,2
390,Sarjapur  Road,1195.0,2.0,70.0,2
391,Other,700.0,1.0,41.0,1
392,Vittasandra,1246.0,2.0,67.0,2
393,Other,1600.0,4.0,80.0,4
394,Begur Road,1584.0,3.0,65.0,3
395,Hosur Road,1175.0,2.0,48.0,3
396,Other,1595.0,3.0,115.0,3
397,Electronic City,1599.0,3.0,125.0,3
398,Whitefield,1150.0,2.0,70.0,2
399,KR Puram,1155.0,2.0,42.74,2
400,Thanisandra,3000.0,4.0,120.0,4
401,Ramagondanahalli,1251.0,2.0,47.0,2
402,Other,1028.0,2.0,45.5,2
403,Arekere,1222.0,2.0,45.0,2
404,Bannerghatta Road,1170.0,2.0,66.0,3
405,Other,1385.0,2.0,48.48,3
406,HSR Layout,1372.0,2.0,68.0,2
407,Magadi Road,1282.0,2.0,49.0,3
408,Kanakpura Road,1135.0,2.0,39.73,2
409,Whitefield,1768.0,3.0,101.0,3
410,Other,1325.0,2.0,90.0,3
411,Electronic City,1599.0,3.0,99.0,3
412,Whitefield,1500.0,3.0,61.95,3
413,Uttarahalli,1286.0,2.0,63.0,2
414,Kammanahalli,2845.0,5.0,140.0,5
415,Other,1600.0,2.0,50.0,3
416,Hennur Road,1915.0,2.0,63.77,2
417,Munnekollal,1102.0,2.0,53.67,2
418,Yelahanka,1350.0,2.0,54.0,2
419,Banashankari,1200.0,2.0,42.0,3
420,Other,1800.0,1.0,80.0,2
421,Chikkabanavar,950.0,2.0,40.0,2
422,Kanakpura Road,525.0,1.0,27.25,1
423,Attibele,656.0,2.0,25.0,2
424,Other,1056.0,2.0,80.0,2
425,Bannerghatta Road,595.0,1.0,33.32,1
426,Other,1080.0,2.0,50.0,2
427,7th Phase JP Nagar,2225.0,3.0,160.0,3
428,Electronics City Phase 1,1490.0,3.0,84.0,3
429,Sarjapur  Road,1550.0,3.0,100.0,3
430,Whitefield,1600.0,3.0,86.0,3
431,Other,1160.0,2.0,55.0,2
432,Whitefield,4144.0,4.0,315.0,4
433,Sarjapur  Road,2100.0,3.0,125.0,3
434,Vittasandra,1404.0,2.0,69.3,2
435,Other,1544.0,3.0,120.0,3
436,Banashankari Stage III,1305.0,2.0,58.7,3
437,Marathahalli,1230.0,2.0,80.0,2
438,Other,1200.0,2.0,65.0,2
439,Harlur,1460.0,3.0,73.0,3
440,Gottigere,967.0,2.0,45.0,2
441,Other,540.0,1.0,36.0,1
442,Hormavu,715.0,1.0,46.0,1
443,Mysore Road,1020.0,2.0,48.95,2
444,Jigani,1020.0,2.0,40.0,2
445,Other,1180.0,2.0,42.0,2
446,Nehru Nagar,961.0,2.0,38.0,2
447,Kanakapura,1419.0,3.0,75.0,3
448,Other,1600.0,2.0,115.0,2
449,Other,416.0,1.0,18.5,1
450,HSR Layout,1430.0,2.0,65.0,3
451,Other,1260.0,2.0,45.0,2
452,Other,1630.0,3.0,85.0,3
453,Sarjapur  Road,1249.0,3.0,44.71,3
454,Kalena Agrahara,1450.0,2.0,85.0,3
455,Other,834.0,1.0,60.0,1
456,Arekere,2060.0,3.0,140.0,3
457,Raja Rajeshwari Nagar,1133.0,2.0,49.07,2
458,Bisuvanahalli,1075.0,2.0,37.0,3
459,Vidyaranyapura,1200.0,2.0,55.0,2
460,Thanisandra,1075.0,2.0,45.8,2
461,Kaggadasapura,1140.0,2.0,40.0,2
462,Raja Rajeshwari Nagar,1090.0,2.0,42.0,2
463,R.T. Nagar,1500.0,4.0,70.0,4
464,Whitefield,1790.0,3.0,100.0,3
465,Hebbal,1920.0,3.0,134.0,3
466,HRBR Layout,1374.0,2.0,95.0,2
467,Bannerghatta Road,1445.0,3.0,95.0,3
468,Kanakapura,711.0,1.0,36.0,1
469,Tumkur Road,1500.0,3.0,95.0,3
470,Whitefield,1720.0,3.0,100.0,3
471,Vasanthapura,1400.0,3.0,60.0,3
472,Kundalahalli,1030.0,2.0,49.0,2
473,Mysore Road,1200.0,2.0,85.0,2
474,Other,1375.0,3.0,70.0,3
475,Hegde Nagar,1050.0,1.0,56.0,2
476,Jalahalli,2250.0,3.0,160.0,3
477,Bellandur,1000.0,2.0,50.0,2
478,Other,469.0,1.0,25.0,1
479,Marathahalli,3800.0,4.0,250.0,4
480,Kambipura,883.0,2.0,29.0,2
481,GM Palaya,1820.0,2.0,86.0,3
482,Singasandra,1440.0,2.0,65.0,3
483,Other,3600.0,4.0,160.0,6
484,Mahadevpura,1225.0,2.0,48.0,2
485,Chikkalasandra,875.0,2.0,52.8,2
486,Jalahalli East,750.0,1.0,40.0,1
487,6th Phase JP Nagar,1180.0,2.0,80.0,2
488,Haralur Road,1194.0,2.0,47.0,2
489,Hennur Road,1500.0,2.0,62.0,3
490,Other,1160.0,2.0,52.2,2
491,Sarjapur,1128.0,2.0,60.0,2
492,Other,1220.0,2.0,35.23,3
493,Sarjapur  Road,1210.0,2.0,58.0,2
494,Kanakpura Road,1100.0,2.0,58.0,3
495,Bommasandra,1200.0,3.0,46.0,3
496,Other,1641.0,3.0,66.0,3
497,Horamavu Agara,1200.0,2.0,45.0,2
498,Raja Rajeshwari Nagar,1260.0,2.0,67.39,2
499,Mahadevpura,1720.0,3.0,78.0,3
500,Yelahanka,1692.5,2.0,48.13,2
501,Yelahanka,1210.0,2.0,45.98,2
502,Bisuvanahalli,1075.0,2.0,45.0,3
503,Thanisandra,1702.0,3.0,130.0,3
504,Raja Rajeshwari Nagar,1141.0,2.0,38.55,2
505,Other,2072.0,3.0,108.0,3
506,JP Nagar,7720.0,2.0,375.0,5
507,Other,1200.0,2.0,70.0,3
508,Other,1350.0,3.0,77.0,3
509,Other,1180.0,2.0,78.34,3
510,Bannerghatta Road,1640.0,2.0,120.0,3
511,Kodichikkanahalli,1190.0,2.0,57.0,3
512,Marathahalli,1019.0,2.0,49.85,2
513,Akshaya Nagar,1250.0,3.0,40.0,3
514,Whitefield,1140.0,2.0,56.0,2
515,Lingadheeranahalli,1683.0,3.0,109.0,3
516,Kaggadasapura,1515.0,3.0,83.3,3
517,Hoodi,2118.0,4.0,111.0,4
518,Bannerghatta Road,1380.0,3.0,58.0,4
519,Varthur Road,1083.0,2.0,61.75,2
520,Other,2300.0,3.0,120.0,3
521,Other,1240.0,2.0,60.0,2
522,Other,1750.0,3.0,120.0,3
523,Other,1230.0,2.0,43.48,2
524,Abbigere,985.0,2.0,40.39,2
525,Tindlu,1500.0,2.0,87.0,3
526,Electronic City,1125.0,2.0,32.49,2
527,Other,950.0,2.0,44.0,2
528,JP Nagar,7800.0,2.0,548.5,5
529,Kothanur,1580.0,3.0,76.0,3
530,Hennur Road,2264.0,3.0,159.0,3
531,Kammasandra,810.0,2.0,24.5,2
532,Other,1045.0,2.0,45.0,2
533,Hebbal,1337.0,2.0,82.0,2
534,Begur Road,1500.0,2.0,54.0,3
535,Other,1570.0,3.0,62.0,3
536,Gubbalala,1470.0,2.0,82.0,3
537,Kengeri,1160.0,2.0,40.61,2
538,7th Phase JP Nagar,1050.0,2.0,71.0,2
539,Bannerghatta Road,1460.0,2.0,90.0,3
540,Hulimavu,1823.0,3.0,100.0,3
541,Electronic City,1094.0,2.0,42.0,2
542,Budigere,1153.0,2.0,57.0,2
543,Other,1325.0,3.0,57.0,3
544,Parappana Agrahara,1200.0,3.0,85.0,4
545,Jakkur,1590.0,2.0,125.0,3
546,Other,1202.0,2.0,48.0,2
547,Haralur Road,1202.0,2.0,53.0,2
548,Other,1200.0,2.0,62.5,2
549,Panathur,1688.0,3.0,118.0,3
550,Kaval Byrasandra,1020.0,2.0,52.0,2
551,Sarjapur,1185.0,2.0,47.0,2
552,Ramagondanahalli,1235.0,2.0,52.04,2
553,Banashankari,1077.0,2.0,37.64,2
554,Kengeri Satellite Town,1415.0,2.0,66.0,3
555,EPIP Zone,2330.0,3.0,162.0,3
556,Whitefield,805.0,2.0,35.0,2
557,Other,425.0,1.0,20.03,1
558,Whitefield,1155.0,2.0,59.95,2
559,Anekal,656.0,2.0,22.0,2
560,Other,1100.0,2.0,48.0,2
561,Mahadevpura,1150.0,2.0,52.0,2
562,Hegde Nagar,1341.0,2.0,97.0,2
563,Jakkur,1279.0,2.0,77.0,2
564,Electronic City Phase II,2225.0,4.0,98.88,4
565,Thanisandra,1185.0,2.0,43.51,2
566,Other,1750.0,3.0,85.0,3
567,Kudlu,1152.0,2.0,53.5,2
568,Varthur Road,2760.0,4.0,155.0,4
569,5th Phase JP Nagar,1070.0,2.0,39.0,2
570,Uttarahalli,1101.0,2.0,45.0,2
571,Other,775.0,2.0,55.0,2
572,Yeshwanthpur,667.0,1.0,36.85,1
573,Electronic City,1070.0,2.0,55.0,2
574,Old Airport Road,1875.0,2.0,110.0,3
575,Kundalahalli,735.0,2.0,57.99,2
576,Koramangala,1750.0,3.0,130.0,3
577,Marathahalli,1215.0,2.0,67.0,2
578,Vishwapriya Layout,820.0,2.0,30.0,2
579,Banashankari Stage VI,1757.5,2.0,59.935,2
580,Battarahalli,1779.0,3.0,89.61,3
581,Other,1105.0,2.0,58.0,2
582,Whitefield,1650.0,3.0,60.0,3
583,Cox Town,1975.0,3.0,150.0,3
584,Kammasandra,674.0,2.0,33.0,2
585,Kaggadasapura,1185.0,2.0,41.0,2
586,Thanisandra,445.0,1.0,28.0,1
